cpu,memory,duration_std,userDiff,sysDiff,heapTotal,heapUsed,avg_cpu_util,cpu_util_std,slo_preservation,total_cpu_shares,cpu_shares_others,num_containers,arrival_rate,latency,memory_util,memory_util_std,slo_duration
1024,1024,115.31521142468519,451160,72154,26578944,15343808,0.7871751007030718,0.0970909473941335,1,1024,0,1,1,378.8127979,0.7741580924024817,0.09749546498322331,705.9372551442309
1024,128,586.1194722858345,404712,77794,33005568,29761016,0.24497624100922116,0.11981612939337011,0.34779662503264824,1024,0,1,1,2029.7415337999998,0.8824663584949167,0.0635147029137418,705.9372551442309
1024,1536,72.9731332190842,254721,34581,45330432,30240688,0.9462072603911589,0.11805374563631833,1,1024,0,1,1,268.36801340000005,0.6987209605887077,0.07757617051765578,705.9372551442309
1024,2048,65.31237523487479,348551,57606,43495424,32081384,1.215631671239737,0.15896309432617514,1,1024,0,1,1,176.17544855,0.7272328358572273,0.09094550533628071,705.9372551442309
1024,256,299.6219368277957,424704,73111,32481280,29863632,0.38864591778812235,0.10480949589111205,0.6055552152784365,1024,0,1,1,1165.7685993500004,0.9136086160073156,0.009632645131278905,705.9372551442309
1024,512,205.29515043896416,424045,69597,32743424,29514424,0.4465251583499815,0.08749387984369754,0.7356280805340669,1024,0,1,1,959.6388091000001,0.9157352856443689,0.009899154688951129,705.9372551442309
128,1024,121.384784234981,427917,84881,39432192,29718280,0.7645986238057072,0.1166847076633157,1,128,0,1,1,407.67836815,0.8164743407667887,0.05850268897895571,705.9372551442309
128,128,778.7621474707942,307863,66582,33005568,29886568,0.17490541391470632,0.07461907599519928,0.2568712541970814,128,0,1,1,2748.214304285714,0.9126221879558706,0.006930958605620616,705.9372551442309
128,1536,73.47277161716336,273748,56167,59056128,47988568,1.2650987378572356,0.16365672793759029,1,128,0,1,1,192.0070423,0.7372865041434802,0.05881710990998548,705.9372551442309
128,2048,47.96846511279259,371116,70820,49524736,29918648,1.5640665931215216,0.2252480895503699,1,128,0,1,1,134.999738,0.7086603733636794,0.10756191713290017,705.9372551442309
128,256,288.35635793334745,425167,63955,32219136,29587776,0.3246765082911588,0.05386516403478714,0.4897086006068816,128,0,1,1,1441.5455523333335,0.8999764224460385,0.04669785368987209,705.9372551442309
128,512,199.1364237013845,332546,38569,32481280,29903712,0.41536321507470003,0.05526385084331817,0.7154496109592627,128,0,1,1,986.7043665000001,0.9264425347222739,0.011542014650662093,705.9372551442309
1536,1024,169.73395587533048,446007,80058,39170048,29681680,0.7916937862399616,0.17976466439133373,1,1536,0,1,1,402.4955036,0.7958726038803215,0.07632519827071298,705.9372551442309
1536,128,2163.446074100514,518806,109756,33005568,29621136,0.24773594902018875,0.2701663878214267,0.19270274019393957,1536,0,1,1,3663.348297142857,0.9128817417607884,0.00881690158662743,705.9372551442309
1536,1536,102.20185446563089,290016,51198,50573312,30081032,0.8764213435512678,0.13125100286838975,1,1536,0,1,1,284.4776073,0.7213687761208849,0.06930942796455523,705.9372551442309
1536,2048,56.479635836508216,253433,49672,48476160,30258496,1.160202147684579,0.1907108625295539,1,1536,0,1,1,196.60334830000002,0.6762652522976718,0.08895144992492064,705.9372551442309
1536,256,537.2982666964832,469143,81740,32743424,29640120,0.5570209057724594,0.20607806351963787,0.7575409955670845,1536,0,1,1,931.8799368947369,0.9152099674417095,0.008466572873736913,705.9372551442309
1536,512,281.2421494997998,316489,43174,32481280,30217816,0.6115854337913472,0.22836141401970314,0.9634739317841164,1536,0,1,1,732.699901736842,0.9214879781039047,0.013001843975298188,705.9372551442309
2048,1024,117.4795652155462,451390,63789,39170048,29916096,0.8038830953567031,0.10497075243511128,1,2048,0,1,1,381.18009099999995,0.8252790574104027,0.04499592159830396,705.9372551442309
2048,128,457.68738724921826,388958,81437,33267712,30089896,0.33532861908045025,0.07547757580957101,0.46804382712383596,2048,0,1,1,1508.2716921666668,0.9146019207788872,0.006476546468913669,705.9372551442309
2048,1536,83.2149911294058,312108,70492,44019712,30556432,1.0120005142420105,0.15382877280460666,1,2048,0,1,1,264.57354349999997,0.7278911889227888,0.07740539415700314,705.9372551442309
2048,2048,44.15563463958098,361946,69489,48738304,29890392,1.4235336765563424,0.1555462526003079,1,2048,0,1,1,183.68489035000002,0.6971382928783646,0.08774060340492816,705.9372551442309
2048,256,278.95493195826623,393441,59268,33005568,29565816,0.6192966238056536,0.17795478189810154,0.9405861089002401,2048,0,1,1,750.5291099499999,0.9169885642306234,0.015243480946751157,705.9372551442309
2048,512,178.76787275767978,341698,52789,33005568,29817296,0.6991105685251039,0.24239296238879154,1,2048,0,1,1,591.5006387894737,0.9138170788581071,0.01028292179429027,705.9372551442309
256,1024,108.86714204056052,503052,75696,39170048,30911424,0.8109131813988378,0.19265740465126918,1,256,0,1,1,400.5335279,0.7972543508013461,0.07748321320074161,705.9372551442309
